contract,pool,token,address,type,chain,checkpoint,date,quantity
0xb13cf163d916917d9cd6e836905ca5f12a1def4b,TYD,TYD,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,start,2025-11-12,781592.042255
0xb13cf163d916917d9cd6e836905ca5f12a1def4b,TYD,TYD,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,snapshot,2025-12-10,2365281.698307
0xb13cf163d916917d9cd6e836905ca5f12a1def4b,TYD,TYD,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,end,2026-03-30,1766567.880382
0xb13cf163d916917d9cd6e836905ca5f12a1def4b,TYD,TYD,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,vault,Base,plus30d,2026-04-29,772168.609801
