contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,DCA,pool,OP Mainnet,276.49,3282.19,0.0,0.0
0xfaf4de6b4f92e8c44735d8224ceb89f54b7e6d9137ad7fac238057f09db75964,DCA/USDC,USDC,pool,OP Mainnet,68.59,367.03,0.999906,298.41
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,ETH,pool,OP Mainnet,0.02,0.25,2051.919037,461.87
0x8b3156a785bcf477d92f2f2a9d7827585d9d551525abb512b0769fbec34e9d22,ETH/DCA,DCA,pool,OP Mainnet,312.55,7640.56,0.0,0.0
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,WBTC,pool,OP Mainnet,0.0,0.0,70040.135922,268.56
0x4dca8e9159ff294dd7a384ce446721719b491d5075b3bee9c57f6899043562c9,WBTC/DCA,DCA,pool,OP Mainnet,104.21,3886.3,0.0,0.0
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,OP,pool,OP Mainnet,26.9,2927.12,0.124374,360.71
0xd6821af358d804a37fd82b956d80b2fcf74e6463069e7d8b2ffe86138087da36,OP/DCA,DCA,pool,OP Mainnet,40.07,3811.01,0.0,0.0
