chain,contract,label,token,date,quantity
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-11,32178792.397843715
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-12,32679203.181400787
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-13,32679203.181400787
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-14,32682777.26824074
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-15,32569493.344130967
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-16,32210341.071942937
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-17,32231538.829046514
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-18,32533451.994138066
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-19,32574269.080822334
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-20,32574269.080822334
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-21,32574524.03659926
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-22,32574594.725731995
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-23,33085783.809565816
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-24,33116978.326369677
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-25,33116342.399629965
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-26,33117705.58195064
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-27,33131236.54818513
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-28,33206388.57329903
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-29,33200025.177433055
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-30,32909613.87173888
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2025-12-31,32942481.450497042
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-01,32929015.296373446
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-02,32939709.219546292
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-03,32851280.06626034
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-04,32851472.443105314
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-05,32859375.001099348
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-06,32872426.5070586
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-07,32347018.595114533
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-08,32477806.85143929
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-09,32746882.594667576
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-10,32732548.554164004
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-11,33036847.032477245
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-12,33038052.403020296
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-13,33254544.68175616
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-14,33111919.025427338
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-15,33117762.310915068
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-16,33124714.18871271
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-17,32629333.095473543
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-18,32496927.620467823
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-19,32576882.398056686
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-20,32583699.54035393
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-21,34538666.61309848
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-22,38420605.505886495
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-23,38486844.0615424
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-24,38525808.136791684
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-25,39964334.55408788
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-26,40002251.65292332
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-27,40032558.96766953
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-28,39944248.22595533
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-29,40002859.788872786
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-30,40304364.275837705
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-01-31,42487652.175651014
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-01,42487676.07503155
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-02,42525471.990318924
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-03,42549889.17203628
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-04,42878820.38513064
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-05,42853892.41522353
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-06,42860805.543989584
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-07,42862091.35216292
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-08,42872019.628252625
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-09,42872036.99177759
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-10,42876202.42586838
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-11,42957928.396010086
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-12,42911093.41701647
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-13,42917412.94431208
Base,0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,2026-02-14,42917882.737484835
