contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0x951092b1ed953d0879e3840489be6fbfc4ad363d,weETH,WEETH,lend,Base,44.45,66.1,2225.145844,48188.54
0xf17182f6f28ded63b77a2bb774c58ade44612be4,USDC,USDC,lend,Base,1640219.54,1551860.66,0.999904,-88350.43
0xa23b5b8f7c7a9c86f39849af12867addd1273e3c,USDC,USDC,lend,Base,1069497.12,878046.99,0.999904,-191431.82
0xf58bec4c57f8a459db9840236613082ae17eb23f,ETH,WETH,lend,OP Mainnet,168.15,87.94,2045.781704,-164083.02
0x9ef15597b0b900bfcee4a77204f72bd20c85d7c8,ETH,WETH,lend,Base,180.82,266.44,2043.306804,174944.51
0xdf2730830c77780a11248945c342c002db73a8be,cbBTC,CBBTC,lend,Base,18.45,19.79,70008.326857,94096.36
