contract,pool,token,address,type,chain,checkpoint,date,quantity
0xa9f987869bfe56d3a2ece2e79df55684d0bbcd8b,USDT0/WETH CL100,USDT0,0x01bff41798a0bcf287b996046ca68b395dbc1071,pool,OP Mainnet,end,2026-08-31,6227.770444
0xa9f987869bfe56d3a2ece2e79df55684d0bbcd8b,USDT0/WETH CL100,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,2.3729116146503975
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,start,2026-02-10,15.379774927892592
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,TBTC,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,pool,OP Mainnet,start,2026-02-10,0.17813406442979596
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,snapshot,2026-03-30,12.77133189213138
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,TBTC,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,pool,OP Mainnet,snapshot,2026-03-30,0.4592300883409173
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,WETH,0x4200000000000000000000000000000000000006,pool,OP Mainnet,end,2026-08-31,2.648780694148471
0xec3d9098bd40ec741676fc04d4bd26bccf592aa3,WETH/tBTC CL200,TBTC,0x6c84a8f1c29108f47a79964b5fe888d4f4d0de40,pool,OP Mainnet,end,2026-08-31,0.3677435828061973
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,start,2026-02-10,842975.566917
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,start,2026-02-10,13.98411162
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,snapshot,2026-03-30,879009.618981
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,WBTC,0x68f180fcce6836688e9084f035309e29bf0a2095,pool,OP Mainnet,snapshot,2026-03-30,14.50313628
0xcf50dea65ee80ebddaa61005a960ef5a5c995a99,USDC/WBTC CL100,USDC,0x0b2c639c533813f4aa9d7837caf62653d097ff85,pool,OP Mainnet,end,2026-08-31,125497.476601
