contract,pool,token,type,chain,quantity_start,quantity_end,price_end,delta_tvl_usd
0xf132bd888897254521d13e2c401e109caaba06a7,veVELO,VELO,loan,OP Mainnet,90872908.12,107904662.18,0.019486,331888.42
0x08dcdbf7bade91ccd42cb2a4ea8e5d199d285957,USDC,USDC,vault,OP Mainnet,1186483.95,1294164.93,0.999624,107640.44
0x87f18b377e625b62c708d5f6ea96ec193558efd0,veAERO,AERO,loan,Base,28779857.29,40032558.97,0.449865,5062201.98
0xb99b6df96d4d5448cc0a5b3e0ef7896df9507cf5,USDC,USDC,vault,Base,9971879.81,11228424.88,0.999624,1256072.03
